url_path,views_total,views_unique
/demichie/elicipy,13,9
/demichie/elicipy/tree/main/ELICITATIONS,8,2
/demichie/elicipy/tree/main/ELICITATIONS/testWebform,5,2
/demichie/elicipy/tree/main/ELICITATIONS/testWebform/DATA,5,2
/demichie/elicipy/tree/main/ELICITATIONS/Cotopaxi/DATA,4,2
/demichie/elicipy/tree/main/ELICITATIONS/Cotopaxi,3,2
/demichie/elicipy/commit/086f22ef0410ee446b6387793f4dd31dd3c9567e,2,2
/demichie/elicipy/blob/main/ELICITATIONS/testWebform/DATA/questionnaire.csv,2,1
/demichie/elicipy/blob/main/requirements.txt,2,1
/demichie/elicipy/tree/main,2,1
