time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,13,1
2024-06-20 00:00:00+00:00,0,0,1,1
2024-06-21 00:00:00+00:00,0,0,3,1
2024-06-22 00:00:00+00:00,0,0,57,1
2024-06-23 00:00:00+00:00,7,5,0,0
2024-06-24 00:00:00+00:00,1,1,6,1
2024-06-25 00:00:00+00:00,2,2,0,0
2024-06-26 00:00:00+00:00,2,2,0,0
2024-06-27 00:00:00+00:00,4,1,141,8
2024-06-28 00:00:00+00:00,2,1,22,6
2024-06-29 00:00:00+00:00,2,1,9,1
2024-06-30 00:00:00+00:00,3,1,0,0
2024-07-01 00:00:00+00:00,8,7,70,7
2024-07-02 00:00:00+00:00,4,3,59,3
2024-07-05 00:00:00+00:00,3,2,7,1
2024-07-07 00:00:00+00:00,0,0,80,3
2024-07-08 00:00:00+00:00,2,1,3,1
2024-07-11 00:00:00+00:00,2,1,22,3
2024-07-12 00:00:00+00:00,3,1,0,0
2024-07-13 00:00:00+00:00,1,1,0,0
2024-07-14 00:00:00+00:00,1,1,0,0
2024-07-15 00:00:00+00:00,4,1,9,1
2024-07-16 00:00:00+00:00,1,1,8,1
2024-07-17 00:00:00+00:00,5,3,49,3
2024-07-19 00:00:00+00:00,1,1,0,0
2024-07-20 00:00:00+00:00,0,0,1,1
2024-07-21 00:00:00+00:00,3,2,0,0
2024-07-24 00:00:00+00:00,2,1,0,0
2024-07-25 00:00:00+00:00,1,1,1,1
2024-07-26 00:00:00+00:00,0,0,1,1
2024-07-28 00:00:00+00:00,1,1,0,0
2024-07-29 00:00:00+00:00,1,1,0,0
2024-07-30 00:00:00+00:00,1,1,1,1
2024-07-31 00:00:00+00:00,3,2,0,0
2024-08-02 00:00:00+00:00,4,2,1,1
2024-08-03 00:00:00+00:00,3,1,1,1
2024-08-04 00:00:00+00:00,3,1,0,0
2024-08-05 00:00:00+00:00,1,1,3,1
2024-08-06 00:00:00+00:00,3,1,3,2
2024-08-09 00:00:00+00:00,2,1,0,0
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-12 00:00:00+00:00,6,4,1,1
2024-08-13 00:00:00+00:00,4,2,0,0
2024-08-14 00:00:00+00:00,0,0,1,1
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,2,2,1,1
2024-08-22 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,3,2,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,2,1,0,0
2024-08-27 00:00:00+00:00,3,3,0,0
2024-08-28 00:00:00+00:00,2,2,0,0
2024-08-30 00:00:00+00:00,1,1,0,0
2024-08-31 00:00:00+00:00,5,4,0,0
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
